SYMBOL,QUOTE_TYPE,REGION,SHORT_NAME,FUND_LONG_NAME,CURRENCY,FUND_CATEGORY,FUND_FAMILY,EXCHANGE_CODE,EXCHANGE_NAME,EXCHANGE_TIMEZONE,AVG_VOL_3MONTH,AVG_VOL_10DAY,TOTAL_NET_ASSETS,DAY50_MOVING_AVERAGE,DAY200_MOVING_AVERAGE,WEEK52_HIGH_LOW_CHANGE,WEEK52_HIGH_LOW_CHANGE_PERC,WEEK52_HIGH,WEEK52_HIGH_CHANGE,WEEK52_HIGH_CHANGE_PERC,WEEK52_LOW,WEEK52_LOW_CHANGE,WEEK52_LOW_CHANGE_PERC,INVESTMENT_STRATEGY,FUND_YIELD,INCEPTION_DATE,ANNUAL_HOLDINGS_TURNOVER,INVESTMENT_TYPE,SIZE_TYPE,FUND_ANNUAL_REPORT_NET_EXPENSE_RATIO,CATEGORY_ANNUAL_REPORT_NET_EXPENSE_RATIO,ASSET_STOCKS,ASSET_BONDS,FUND_SECTOR_BASIC_MATERIALS,FUND_SECTOR_COMMUNICATION_SERVICES,FUND_SECTOR_CONSUMER_CYCLICAL,FUND_SECTOR_CONSUMER_DEFENSIVE,FUND_SECTOR_ENERGY,FUND_SECTOR_FINANCIAL_SERVICES,FUND_SECTOR_HEALTHCARE,FUND_SECTOR_INDUSTRIALS,FUND_SECTOR_REAL_ESTATE,FUND_SECTOR_TECHNOLOGY,FUND_SECTOR_UTILITIES,FUND_PRICE_BOOK_RATIO,FUND_PRICE_CASHFLOW_RATIO,FUND_PRICE_EARNING_RATIO,FUND_PRICE_SALES_RATIO,FUND_BOND_MATURITY,FUND_BOND_DURATION,FUND_BONDS_US_GOVERNMENT,FUND_BONDS_AAA,FUND_BONDS_AA,FUND_BONDS_A,FUND_BONDS_BBB,FUND_BONDS_BB,FUND_BONDS_B,FUND_BONDS_BELOW_B,FUND_BONDS_OTHERS,TOP10_HOLDINGS,TOP10_HOLDINGS_TOTAL_ASSETS,RETURNS_AS_OF_DATE,FUND_RETURN_YTD,CATEGORY_RETURN_YTD,FUND_RETURN_1MONTH,CATEGORY_RETURN_1MONTH,FUND_RETURN_3MONTHS,CATEGORY_RETURN_3MONTHS,FUND_RETURN_1YEAR,CATEGORY_RETURN_1YEAR,FUND_RETURN_3YEARS,CATEGORY_RETURN_3YEARS,FUND_RETURN_5YEARS,CATEGORY_RETURN_5YEARS,FUND_RETURN_10YEARS,CATEGORY_RETURN_10YEARS,YEARS_UP,YEARS_DOWN,FUND_RETURN_2020,CATEGORY_RETURN_2020,FUND_RETURN_2019,CATEGORY_RETURN_2019,FUND_RETURN_2018,CATEGORY_RETURN_2018,FUND_RETURN_2017,CATEGORY_RETURN_2017,FUND_RETURN_2016,CATEGORY_RETURN_2016,FUND_RETURN_2015,CATEGORY_RETURN_2015,FUND_RETURN_2014,CATEGORY_RETURN_2014,FUND_RETURN_2013,CATEGORY_RETURN_2013,FUND_RETURN_2012,CATEGORY_RETURN_2012,FUND_RETURN_2011,CATEGORY_RETURN_2011,FUND_RETURN_2010,CATEGORY_RETURN_2010,FUND_RETURN_2009,CATEGORY_RETURN_2009,FUND_RETURN_2008,CATEGORY_RETURN_2008,FUND_RETURN_2007,CATEGORY_RETURN_2007,FUND_RETURN_2006,CATEGORY_RETURN_2006,FUND_RETURN_2005,CATEGORY_RETURN_2005,FUND_RETURN_2004,CATEGORY_RETURN_2004,FUND_RETURN_2003,CATEGORY_RETURN_2003,FUND_RETURN_2002,CATEGORY_RETURN_2002,FUND_RETURN_2001,CATEGORY_RETURN_2001,FUND_RETURN_2000,CATEGORY_RETURN_2000,FUND_ALPHA_3YEARS,FUND_BETA_3YEARS,FUND_MEAN_ANNUAL_RETURN_3YEARS,FUND_R_SQUARED_3YEARS,FUND_STDEV_3YEARS,FUND_SHARPE_RATIO_3YEARS,FUND_TREYNOR_RATIO_3YEARS,FUND_ALPHA_5YEARS,FUND_BETA_5YEARS,FUND_MEAN_ANNUAL_RETURN_5YEARS,FUND_R_SQUARED_5YEARS,FUND_STDEV_5YEARS,FUND_SHARPE_RATIO_5YEARS,FUND_TREYNOR_RATIO_5YEARS,FUND_ALPHA_10YEARS,FUND_BETA_10YEARS,FUND_MEAN_ANNUAL_RETURN_10YEARS,FUND_R_SQUARED_10YEARS,FUND_STDEV_10YEARS,FUND_SHARPE_RATIO_10YEARS,FUND_TREYNOR_RATIO_10YEARS
asea,etf,us,american beacon large cap value,american beacon large cap value fund r5 class,usd,pacific/asia ex-japan stk,american beacon,pcx,nysearca,america/new_york,13730,22400.0,33818980.0,14.96,14.656,1.83,0.11829,15.47,-1.07,-0.06917,13.64,0.76,0.05572,"the investment seeks long-term capital appreciation and current income. under normal circumstances, at least 80% of the fund's net assets (plus the amount of any borrowings for investment purposes) are invested in equity securities of large market capitalization u.s. companies. these companies have market capitalizations within the market capitalization range of the companies in the russell 1000© index at the time of investment.",0.0189,2011-02-16,0.0598,value,large,0.0065,0.0054,0.999,0.0,0.0511,0.0757,0.044,0.0599,0.0592,0.5025,0.0411,0.0611,0.0695,0.0,0.036,1.47,,16.77,2.55,,,,,,,,,,,,"""future on s&p 500 jun21"": 0.0309, gvsxx (""state street instl us govt mmkt slct""): 0.0303, c (""citigroup inc""): 0.0284, wfc (""wells fargo & co""): 0.0252, aig (""american international group inc""): 0.0236, jpm (""jpmorgan chase & co""): 0.023, cmcsa (""comcast corp class a""): 0.0226, antm (""anthem inc""): 0.0199, gs (""goldman sachs group inc""): 0.0195, hes (""hess corp""): 0.0153",0.5211,2021-06-30,0.0045,0.0984,-0.031,-0.0199,-0.0144,0.01,0.1858,0.0708,0.0103,0.0024,0.0379,0.0352,0.0143,0.0467,5.0,4.0,-0.08047,,0.07784,,-0.06351,,0.31886,,0.08388,,-0.19927,-0.08923,0.05342,0.02285,-0.04062,0.02827,0.18739,0.20639,,-0.20255,,0.19485,,0.73761,,-0.51342,,0.39069,,0.37975,,0.14049,,0.21046,,0.38684,,-0.07992,,0.02745,,-0.16595,-8.75,1.09,0.22,81.72,21.25,0.06,-0.8,-7.18,1.08,0.44,78.4,17.8,0.23,2.38,-3.34,0.96,0.24,72.17,17.06,0.13,0.85
aset,etf,us,aasgard small  midcap fund,aasgard small  midcap fund no load class,usd,,aasgard,ngm,nasdaqgm,america/new_york,1825,1930.0,30690664.0,33.382,33.045,5.34,0.15478,34.5,-1.6328,-0.04733,29.16,3.7072,0.12713,"the investment seeks a combination of dividend income and capital appreciation, with a secondary focus on lower than market volatility. the fund will invest at least 80% of its net assets (plus any borrowings for investment purposes) in dividend-paying common stocks of small- and medium-sized companies. it invests primarily in the common stocks of domestic small- and medium-sized companies with market capitalizations under $15 billion that the advisor believes have strong growth potential and attractive dividend and yield opportunities. the fund may also invest up to 15% of its net assets in real estate investment trusts (""reits"").",0.0162,2015-11-23,0.14,value,large,0.0057,,,,0.1747,0.1209,0.0006,0.0585,0.1529,0.0,0.0155,0.1705,0.1643,0.0009,0.1411,2.0,9.63,19.43,1.92,,,,,,,,,,,,"expd (""expeditors international of washington inc""): 0.0244, grmn (""garmin ltd""): 0.0232, pool (""pool corp""): 0.023, cube (""cubesmart""): 0.0228, tsco (""tractor supply co""): 0.0226, wsm (""williams-sonoma inc""): 0.0224, ter (""teradyne inc""): 0.0219, ndaq (""nasdaq inc""): 0.0218, mpwr (""monolithic power systems inc""): 0.0216, ggg (""graco inc""): 0.0211",0.9998,2021-06-30,0.1294,,-0.0181,,0.054,,0.314,,0.0876,,0.0824,,,,3.0,2.0,-0.00903,,0.23559,,-0.08373,,0.13867,,0.08202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.43,0.87,0.83,86.25,16.84,0.52,8.84,-5.07,0.86,0.65,81.87,13.87,0.48,6.85,,,,,,,
ashr,etf,us,,american century one choice blend 2045 portfolio investor class,usd,china region,american century investments,pcx,nysearca,america/new_york,3171712,2076710.0,2773868032.0,38.482,39.203,10.5,0.2262,46.42,-7.67,-0.16523,35.92,2.83,0.07879,"the investment seeks the highest total return consistent with its asset mix. the fund is a ""fund of funds,"" meaning that it seeks to achieve its objective by investing in other mutual funds and exchange-traded funds (etfs) advised by american century (collectively, the underlying funds) that represent a variety of asset classes and investment styles. the underlying stock funds draw on growth, value and quantitative investment techniques and diversify investments among small, medium and large u.s. and foreign companies.",0.008,2013-11-06,1.15,blend,large,0.0065,0.0068,0.9914,0.0,0.0631,0.0225,0.0815,0.1632,0.0124,0.2276,0.1135,0.1108,0.0198,0.1666,0.019,2.29,14.84,18.01,1.91,,,,,,,,,,,,"avunx (""avantis© u.s. equity g""): 0.1953, acfgx (""american century focused dynamic gr g""): 0.1305, acllx (""american century nt focused lg cap val g""): 0.1282, avbnx (""avantis© core fixed income g""): 0.1063, avdnx (""avantis© international equity g""): 0.0713, afcgx (""american century focused intl gr g""): 0.0402, antgx (""american century non-us intrs val g""): 0.0397, agbgx (""american century global bond g""): 0.0394, aclkx (""american century nt emerging markets g""): 0.036, aclwx (""american century nt heritage g""): 0.0313",0.2402,2021-06-30,0.012,0.0014,-0.0375,-0.007,0.0497,0.0547,0.376,-0.0077,0.1637,0.0246,0.1232,0.0458,,0.062,5.0,2.0,0.37417,,0.35573,,-0.28054,,0.31807,,-0.15063,,0.00075,-0.00351,0.497,0.07408,,0.11475,,0.19135,,-0.24276,,0.0954,,0.67665,,-0.50899,,0.42833,,0.46139,,0.05902,,0.16256,,0.3835,,-0.22312,,-0.06992,,-0.14001,9.26,0.79,1.48,37.3,22.73,0.73,19.33,4.38,0.8,1.16,33.85,20.1,0.63,14.31,,,,,,,
ashs,etf,us,invesco select risk growth inv,invesco select risk growth investor fund class r5,usd,china region,invesco,pcx,nysearca,america/new_york,10946,14890.0,40269792.0,40.414,38.425,9.8,0.22426,43.7,-2.5399,-0.05812,33.9,7.2601,0.21416,"the investment seeks long-term growth of capital consistent with a higher level of risk relative to the broad stock market. the fund is a ""fund of funds,"" and invests its assets in other underlying mutual funds advised by the adviser and etfs and other pooled investment vehicles. its target allocation is to invest approximately 70%-85% of its total assets in underlying funds that invest primarily in equity securities, approximately 5%-30% of its total assets in underlying funds that invest primarily in fixed-income securities and approximately 5%-20% of its total assets in alternative asset classes.",0.004,2014-05-21,0.48,blend,medium,0.0065,0.0068,0.9953,0.0,0.1872,0.0352,0.0974,0.0684,0.0256,0.0539,0.103,0.1941,0.0357,0.1768,0.0228,1.98,10.31,19.45,1.07,,,,,,,,,,,,"oglix (""invesco global r6""): 0.1063, ossix (""invesco main street small cap r6""): 0.0983, xslv (""invesco s&p smallcap low volatility etf""): 0.0931, cpbfx (""invesco core plus bond r6""): 0.0802, omfl (""invesco russell 1000© dynamic mltfct etf""): 0.08, oegix (""invesco discovery mid cap growth r6""): 0.0696, splv (""invesco s&p 500© low volatility etf""): 0.0665, rpg (""invesco s&p 500© pure growth etf""): 0.0612, izisx (""invesco international select equity r6""): 0.0348, oscix (""invesco international small-mid com r6""): 0.0341",0.0781,2021-06-30,0.083,0.0014,0.0017,-0.007,0.0986,0.0547,0.2813,-0.0077,0.1058,0.0246,0.0251,0.0458,,0.062,4.0,2.0,0.29591,,0.24861,,-0.36317,,0.06834,,-0.22291,,0.28709,-0.00351,,0.07408,,0.11475,,0.19135,,-0.24276,,0.0954,,0.67665,,-0.50899,,0.42833,,0.46139,,0.05902,,0.16256,,0.3835,,-0.22312,,-0.06992,,-0.14001,5.6,0.68,1.09,24.47,24.12,0.49,14.25,-2.98,0.64,0.41,20.5,20.71,0.18,2.65,,,,,,,
ashx,etf,us,,american century one choice blend 2045 portfolio i class,usd,china region,american century investments,pcx,nysearca,america/new_york,1069,850.0,15479985.0,29.857,29.752,6.53,0.19138,34.12,-3.8556,-0.113,27.59,2.6744,0.09693,"the investment seeks the highest total return consistent with its asset mix. the fund is a ""fund of funds,"" meaning that it seeks to achieve its objective by investing in other mutual funds and exchange-traded funds (etfs) advised by american century (collectively, the underlying funds) that represent a variety of asset classes and investment styles. the underlying stock funds draw on growth, value and quantitative investment techniques and diversify investments among small, medium and large u.s. and foreign companies.",0.0076,2015-10-20,0.27,growth,large,0.006,0.0068,,,0.0807,0.0171,0.0839,0.1715,0.0181,0.1838,0.1204,0.15,0.0192,0.1375,0.0178,2.41,14.8,19.33,1.67,,,,,,,,,,,,"avunx (""avantis© u.s. equity g""): 0.1953, acfgx (""american century focused dynamic gr g""): 0.1305, acllx (""american century nt focused lg cap val g""): 0.1282, avbnx (""avantis© core fixed income g""): 0.1063, avdnx (""avantis© international equity g""): 0.0713, afcgx (""american century focused intl gr g""): 0.0402, antgx (""american century non-us intrs val g""): 0.0397, agbgx (""american century global bond g""): 0.0394, aclkx (""american century nt emerging markets g""): 0.036, aclwx (""american century nt heritage g""): 0.0313",0.2089,2021-06-30,0.0396,0.0014,-0.0213,-0.007,0.0826,0.0547,0.4166,-0.0077,0.1907,0.0246,0.1313,0.0458,,0.062,3.0,2.0,0.42221,,0.35388,,-0.27813,,0.2122,,-0.11818,,,-0.00351,,0.07408,,0.11475,,0.19135,,-0.24276,,0.0954,,0.67665,,-0.50899,,0.42833,,0.46139,,0.05902,,0.16256,,0.3835,,-0.22312,,-0.06992,,-0.14001,12.06,0.75,1.69,34.78,22.5,0.84,24.12,5.13,0.72,1.15,28.28,19.79,0.64,15.87,,,,,,,
aspy,etf,us,,american century one choice blend 2050 portfolio investor class,usd,long-short equity,american century investments,pcx,nysearca,america/new_york,7332,6760.0,3279288.0,28.201,27.345,5.222,0.17217,30.33,-2.0439,-0.06739,25.108,3.1781,0.12658,"the investment seeks the highest total return consistent with its asset mix. the fund is a ""fund of funds,"" meaning that it seeks to achieve its objective by investing in other mutual funds and exchange-traded funds (etfs) advised by american century (collectively, the underlying funds) that represent a variety of asset classes and investment styles. the underlying stock funds draw on growth, value and quantitative investment techniques and diversify investments among small, medium and large u.s. and foreign companies.",,2021-03-09,,blend,large,0.0095,0.0095,0.9966,0.0,0.0236,0.1083,0.0846,0.1212,0.0289,0.1164,0.1314,0.0667,0.0248,0.2696,0.0244,4.65,17.0,23.66,2.44,,,,,,,,,,,,"avunx (""avantis© u.s. equity g""): 0.2095, acfgx (""american century focused dynamic gr g""): 0.1374, acllx (""american century nt focused lg cap val g""): 0.1371, avbnx (""avantis© core fixed income g""): 0.0777, avdnx (""avantis© international equity g""): 0.0757, afcgx (""american century focused intl gr g""): 0.0427, antgx (""american century non-us intrs val g""): 0.0422, aclkx (""american century nt emerging markets g""): 0.0385, aclwx (""american century nt heritage g""): 0.0333, aclmx (""american century nt mid cap value g""): 0.0329",0.2485,2021-06-30,,0.0328,0.0275,0.0021,0.0604,0.0313,,0.0494,,0.0232,,0.0353,,,,,,,,,,,,,,,,-0.02114,,0.0222,,0.1269,,-0.09078,,-0.01618,,0.08096,,0.3145,,-0.29481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atfv,etf,us,,american century one choice blend 2050 portfolio a class,usd,large growth,american century investments,pcx,nysearca,america/new_york,3624,8870.0,11395190.0,21.917,21.245,5.874,0.24313,24.16,-4.4282,-0.18329,18.286,1.4458,0.07907,"the investment seeks the highest total return consistent with its asset mix. the fund is a ""fund of funds,"" meaning that it seeks to achieve its objective by investing in other mutual funds and exchange-traded funds (etfs) advised by american century (collectively, the underlying funds) that represent a variety of asset classes and investment styles. the underlying stock funds draw on growth, value and quantitative investment techniques and diversify investments among small, medium and large u.s. and foreign companies.",,2021-05-04,,,,0.0055,0.0039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"avunx (""avantis© u.s. equity g""): 0.2095, acfgx (""american century focused dynamic gr g""): 0.1374, acllx (""american century nt focused lg cap val g""): 0.1371, avbnx (""avantis© core fixed income g""): 0.0777, avdnx (""avantis© international equity g""): 0.0757, afcgx (""american century focused intl gr g""): 0.0427, antgx (""american century non-us intrs val g""): 0.0422, aclkx (""american century nt emerging markets g""): 0.0385, aclwx (""american century nt heritage g""): 0.0333, aclmx (""american century nt mid cap value g""): 0.0329",,2021-06-30,,0.048,0.0717,0.0031,,0.0511,,0.1242,,0.1146,,0.1705,,0.0948,,,,,,,,,,,,,,0.03976,,0.14094,,0.36024,,0.16404,,0.00687,,0.18617,,0.41318,,-0.41574,,0.09633,,0.0998,,0.02725,,0.0698,,0.30929,,-0.27831,,-0.19168,,-0.3694,,,,,,,,,,,,,,,,,,,,,
atmp,etf,us,invesco select risk growth inv,invesco select risk growth investor fund class r,usd,energy limited partnership,invesco,bts,bats,america/new_york,45220,56150.0,195445248.0,16.531,15.502,6.13,0.3479,17.62,-2.38,-0.13507,11.49,3.75,0.32637,"the investment seeks long-term growth of capital consistent with a higher level of risk relative to the broad stock market. the fund is a ""fund of funds,"" and invests its assets in other underlying mutual funds advised by the adviser and etfs and other pooled investment vehicles. its target allocation is to invest approximately 70%-85% of its total assets in underlying funds that invest primarily in equity securities, approximately 5%-30% of its total assets in underlying funds that invest primarily in fixed-income securities and approximately 5%-20% of its total assets in alternative asset classes.",0.0549,2013-03-12,,,,0.0095,0.0074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"oglix (""invesco global r6""): 0.1063, ossix (""invesco main street small cap r6""): 0.0983, xslv (""invesco s&p smallcap low volatility etf""): 0.0931, cpbfx (""invesco core plus bond r6""): 0.0802, omfl (""invesco russell 1000© dynamic mltfct etf""): 0.08, oegix (""invesco discovery mid cap growth r6""): 0.0696, splv (""invesco s&p 500© low volatility etf""): 0.0665, rpg (""invesco s&p 500© pure growth etf""): 0.0612, izisx (""invesco international select equity r6""): 0.0348, oscix (""invesco international small-mid com r6""): 0.0341",,2021-06-30,0.4603,0.154,0.0623,-0.0399,0.2242,-0.014,0.6378,-0.0179,0.0013,-0.0754,0.005,0.0196,,,3.0,4.0,-0.28208,,0.06817,,-0.0991,,-0.06526,,0.34494,,-0.36793,-0.36454,0.16598,0.03976,,0.26695,,0.02447,,0.12015,,0.34858,,,,,,,,,,,,,,,,,,,,,-17.87,1.87,0.8,63.02,42.35,0.2,-0.47,-18.99,1.79,0.55,59.33,33.89,0.16,-0.29,,,,,,,
augz,etf,us,american fds 2025 target date r,american funds 2025 target date retirement fund class a,usd,,american funds,bts,bats,america/new_york,1180,910.0,10096958.0,32.466,31.055,6.056,0.18173,33.325,-0.933,-0.028,27.269,5.123,0.18787,"the investment seeks growth, income and conservation of capital. the fund normally invests a greater portion of its assets in fixed income, equity-income and balanced funds as it approaches and passes its target date. the advisor attempts to achieve its investment objectives by investing in a mix of american funds in different combinations and weightings. the underlying american funds represent a variety of fund categories, including growth funds, growth-and-income funds, equity-income funds, balanced funds and fixed income funds. the fund categories represent differing investment objectives.",,2020-07-31,,blend,large,0.0079,,,,0.0226,0.1118,0.1201,0.0629,0.0282,0.1421,0.1311,0.088,0.0259,0.2426,0.0246,4.43,17.58,26.49,2.96,,,,,,,,,,,,"rbogx (""american funds interm bd fd of amer r6""): 0.0894, rmfgx (""american funds american mutual r6""): 0.0624, rwmgx (""american funds washington mutual r6""): 0.06, ricgx (""american funds invmt co of amer r6""): 0.0584, rbfgx (""american funds bond fund of amer r6""): 0.0569, rgvgx (""american funds us government sec r6""): 0.0568, rlbgx (""american funds american balanced r6""): 0.0548, rilfx (""american funds inflation linked bd r6""): 0.0543, ridgx (""american funds income fund of amer r6""): 0.0532, rirgx (""american funds capital income bldr r6""): 0.053",1.0006,2021-06-30,0.1158,,0.019,,0.0668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ausf,etf,us,,american century one choice blend 2050 portfolio r6 class,usd,,american century investments,pcx,nysearca,america/new_york,5217,3290.0,177803584.0,30.602,29.795,6.0,0.19206,31.24,-1.0901,-0.03489,25.24,4.9099,0.19453,"the investment seeks the highest total return consistent with its asset mix. the fund is a ""fund of funds,"" meaning that it seeks to achieve its objective by investing in other mutual funds and exchange-traded funds (etfs) advised by american century (collectively, the underlying funds) that represent a variety of asset classes and investment styles. the underlying stock funds draw on growth, value and quantitative investment techniques and diversify investments among small, medium and large u.s. and foreign companies.",0.0235,2018-08-24,,value,medium,0.0027,,0.9995,0.0,0.0577,0.0797,0.05,0.1083,0.0438,0.208,0.1284,0.1042,0.0484,0.1473,0.0242,2.07,9.98,16.48,1.36,,,,,,,,,,,,"avunx (""avantis© u.s. equity g""): 0.2095, acfgx (""american century focused dynamic gr g""): 0.1374, acllx (""american century nt focused lg cap val g""): 0.1371, avbnx (""avantis© core fixed income g""): 0.0777, avdnx (""avantis© international equity g""): 0.0757, afcgx (""american century focused intl gr g""): 0.0427, antgx (""american century non-us intrs val g""): 0.0422, aclkx (""american century nt emerging markets g""): 0.0385, aclwx (""american century nt heritage g""): 0.0333, aclmx (""american century nt mid cap value g""): 0.0329",0.1763,2021-05-31,0.1929,,0.0281,,0.1328,,0.5062,,,,,,,,2.0,0.0,0.01411,,0.23772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
avde,etf,us,,american century one choice blend 2055 portfolio investor class,usd,,american century investments,pcx,nysearca,america/new_york,50872,68220.0,775033088.0,63.912,63.288,10.58,0.16079,65.8,-4.2,-0.06383,55.22,6.38,0.11554,"the investment seeks the highest total return consistent with its asset mix. the fund is a ""fund of funds,"" meaning that it seeks to achieve its objective by investing in other mutual funds and exchange-traded funds (etfs) advised by american century (collectively, the underlying funds) that represent a variety of asset classes and investment styles. the underlying stock funds draw on growth, value and quantitative investment techniques and diversify investments among small, medium and large u.s. and foreign companies.",0.015,2019-09-24,0.08,blend,large,0.0023,,0.994,0.0001,0.114,0.0529,0.1257,0.0677,0.045,0.1914,0.0747,0.1852,0.0258,0.0827,0.0347,1.53,8.47,19.7,1.12,,,,,,,,,,,,"avunx (""avantis© u.s. equity g""): 0.2169, acfgx (""american century focused dynamic gr g""): 0.1451, acllx (""american century nt focused lg cap val g""): 0.1419, avdnx (""avantis© international equity g""): 0.0792, avbnx (""avantis© core fixed income g""): 0.059, afcgx (""american century focused intl gr g""): 0.0445, antgx (""american century non-us intrs val g""): 0.044, aclkx (""american century nt emerging markets g""): 0.0399, aclwx (""american century nt heritage g""): 0.0348, aclmx (""american century nt mid cap value g""): 0.034",0.0562,2021-04-30,0.0906,,0.0308,,0.1008,,0.4767,,,,,,,,1.0,0.0,0.07844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
avdg,etf,us,invesco select risk growth inv,invesco select risk growth investor fund class y,usd,,invesco,bts,bats,america/new_york,458,360.0,1522106.0,31.278,29.376,8.016,0.24394,32.86,-1.3317,-0.04053,24.844,6.6843,0.26905,"the investment seeks long-term growth of capital consistent with a higher level of risk relative to the broad stock market. the fund is a ""fund of funds,"" and invests its assets in other underlying mutual funds advised by the adviser and etfs and other pooled investment vehicles. its target allocation is to invest approximately 70%-85% of its total assets in underlying funds that invest primarily in equity securities, approximately 5%-30% of its total assets in underlying funds that invest primarily in fixed-income securities and approximately 5%-20% of its total assets in alternative asset classes.",,2020-12-29,,blend,large,0.006,,0.9915,0.0,0.0063,0.0,0.1966,0.1815,0.0071,0.1211,0.0818,0.061,0.0301,0.3144,0.0,4.49,14.82,23.56,2.07,,,,,,,,,,,,"oglix (""invesco global r6""): 0.1063, ossix (""invesco main street small cap r6""): 0.0983, xslv (""invesco s&p smallcap low volatility etf""): 0.0931, cpbfx (""invesco core plus bond r6""): 0.0802, omfl (""invesco russell 1000© dynamic mltfct etf""): 0.08, oegix (""invesco discovery mid cap growth r6""): 0.0696, splv (""invesco s&p 500© low volatility etf""): 0.0665, rpg (""invesco s&p 500© pure growth etf""): 0.0612, izisx (""invesco international select equity r6""): 0.0348, oscix (""invesco international small-mid com r6""): 0.0341",0.59,2021-04-30,0.1217,,0.0383,,0.1164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
avdr,etf,us,,american beacon ahl targetrisk core fund c class,usd,,american beacon,bts,bats,america/new_york,14466,2570.0,4985553.0,30.982,29.512,7.58,0.23323,32.5,-1.9061,-0.05865,24.92,5.6739,0.22768,"the investment seeks capital growth. the fund invests primarily in futures (including government bond futures, such as treasury futures, and equity index futures), but also may invest in other types of derivative instruments based on securities, indices, and currencies. these may include foreign currency forward contracts, including non-deliverable forwards (""ndfs""), and non-u.s. currency futures contracts. the fund is non-diversified.",,2020-12-29,,blend,large,0.006,,0.9971,0.0,0.0261,0.0954,0.0734,0.0576,0.019,0.1441,0.1385,0.1216,0.0467,0.2432,0.0345,3.76,15.5,25.81,2.02,,,,,,,,,,,,"""united kingdom of great britain and northern ireland 0.12%"": 0.0838, ""united states treasury bills"": 0.0673, ""united states treasury bills 0.01%"": 0.0673, ""germany (federal republic of) 0.5%"": 0.063",0.2643,2021-04-30,0.1278,,0.0422,,0.1443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
avdv,etf,us,,american century one choice blend 2055 portfolio r6 class,usd,,american century investments,pcx,nysearca,america/new_york,94351,167910.0,860706368.0,65.575,65.043,12.83,0.18904,67.87,-5.44,-0.08015,55.04,7.39,0.13427,"the investment seeks the highest total return consistent with its asset mix. the fund is a ""fund of funds,"" meaning that it seeks to achieve its objective by investing in other mutual funds and exchange-traded funds (etfs) advised by american century (collectively, the underlying funds) that represent a variety of asset classes and investment styles. the underlying stock funds draw on growth, value and quantitative investment techniques and diversify investments among small, medium and large u.s. and foreign companies.",0.0143,2019-09-24,0.32,value,medium,0.0036,,0.9939,0.0003,0.1699,0.0327,0.1622,0.0534,0.0648,0.1646,0.0201,0.2409,0.028,0.0527,0.0105,1.12,5.35,13.66,0.65,,,,,,,,,,,,"avunx (""avantis© u.s. equity g""): 0.2169, acfgx (""american century focused dynamic gr g""): 0.1451, acllx (""american century nt focused lg cap val g""): 0.1419, avdnx (""avantis© international equity g""): 0.0792, avbnx (""avantis© core fixed income g""): 0.059, afcgx (""american century focused intl gr g""): 0.0445, antgx (""american century non-us intrs val g""): 0.044, aclkx (""american century nt emerging markets g""): 0.0399, aclwx (""american century nt heritage g""): 0.0348, aclmx (""american century nt mid cap value g""): 0.034",0.0626,2021-05-31,0.1706,,0.0334,,0.1157,,0.5516,,,,,,,,1.0,0.0,0.04713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
